Day,Period,Line,Demand_Pax_Hr,Bench_Freq,Bench_Cars,Bench_Cap_Hr,Bench_Util_Pct,Opt_Freq,Opt_Cars,Opt_Cap_Hr,Opt_Util_Pct,Util_Change_Pct
Saturday,AM,NWK−WTC,1056.5,3.0,9,2970,35.57,3.33,8,2933,36.02,0.44
Saturday,AM,JSQ−33st,1056.5,3.0,8,2640,40.02,3.0,6,1980,53.36,13.34
Saturday,AM,HOB−33st,1056.5,3.0,8,2640,40.02,3.33,8,2933,36.02,-4.0
Saturday,Midday,NWK−WTC,2434.1,3.0,9,2970,81.96,4.0,8,3520,69.15,-12.81
Saturday,Midday,JSQ−33st,2434.1,3.0,8,2640,92.2,5.0,6,3300,73.76,-18.44
Saturday,Midday,HOB−33st,2434.1,3.0,8,2640,92.2,4.17,8,3666,66.38,-25.82
Saturday,PM,NWK−WTC,2999.2,3.0,9,2970,100.98,4.67,8,4106,73.03,-27.95
Saturday,PM,JSQ−33st,2999.2,3.0,8,2640,113.6,6.0,6,3960,75.74,-37.87
Saturday,PM,HOB−33st,2999.2,3.0,8,2640,113.6,5.0,8,4400,68.16,-45.44
Saturday,Evening,NWK−WTC,1253.5,3.0,9,2970,42.21,3.33,8,2933,42.73,0.53
Saturday,Evening,JSQ−33st,1253.5,3.0,8,2640,47.48,3.0,6,1980,63.31,15.83
Saturday,Evening,HOB−33st,1253.5,3.0,8,2640,47.48,3.33,8,2933,42.73,-4.75
Sunday,AM,NWK−WTC,746.7,3.0,9,2970,25.14,3.33,8,2933,25.46,0.31
Sunday,AM,JSQ−33st,746.7,3.0,8,2640,28.29,3.0,6,1980,37.71,9.43
Sunday,AM,HOB−33st,746.7,3.0,8,2640,28.29,3.33,8,2933,25.46,-2.83
Sunday,Midday,NWK−WTC,1993.1,3.0,9,2970,67.11,3.33,8,2933,67.95,0.84
Sunday,Midday,JSQ−33st,1993.1,3.0,8,2640,75.5,4.0,6,2640,75.5,0.0
Sunday,Midday,HOB−33st,1993.1,3.0,8,2640,75.5,3.33,8,2933,67.95,-7.55
Sunday,PM,NWK−WTC,2304.3,3.0,9,2970,77.58,3.33,8,2933,78.55,0.97
Sunday,PM,JSQ−33st,2304.3,3.0,8,2640,87.28,4.5,6,2970,77.58,-9.7
Sunday,PM,HOB−33st,2304.3,3.0,8,2640,87.28,3.33,8,2933,78.55,-8.73
Sunday,Evening,NWK−WTC,949.1,3.0,9,2970,31.96,3.33,8,2933,32.35,0.4
Sunday,Evening,JSQ−33st,949.1,3.0,8,2640,35.95,3.0,6,1980,47.93,11.98
Sunday,Evening,HOB−33st,949.1,3.0,8,2640,35.95,3.33,8,2933,32.35,-3.59
